User	Sim	Time	Index	User or Model	Component	Event	Item	Action	Laser on status	Wavelength	Width	Concentration	Absorption	Detector location	Ruler location	diff in parsed table	Table	X axis	Y axis	X axis scale	Y axis scale	Experiment #s included	Notes
13122150	beers-law-lab	11.99	1362	user	sim	dragged	wavelengthControls	decreasing	True	494	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	12.0	1364	model	sim	updating state			True	475	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	12.01	1368	user	sim	dragged	wavelengthControls	decreasing	True	475	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	12.03	1370	model	sim	updating state			True	465	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	12.03	1373	user	sim	dragged	wavelengthControls	decreasing	True	465	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	12.05	1375	model	sim	updating state			True	456	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	12.08	1380	user	sim	dragged	wavelengthControls	decreasing	True	456	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	12.1	1382	model	sim	updating state			True	446	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	13.6	1475	user	sim	dragged	wavelengthControls	increasing	True	446	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	13.62	1477	model	sim	updating state			True	456	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	13.62	1480	user	sim	dragged	wavelengthControls	increasing	True	456	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	13.64	1482	model	sim	updating state			True	475	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	13.64	1485	user	sim	dragged	wavelengthControls	increasing	True	475	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	13.65	1488	user	sim	dragged	wavelengthControls	increasing	True	475	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	13.65	1490	model	sim	updating state			True	489	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	13.66	1493	user	sim	dragged	wavelengthControls	increasing	True	489	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	13.66	1496	user	sim	dragged	wavelengthControls	increasing	True	489	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	13.66	1498	model	sim	updating state			True	499	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	13.67	1501	user	sim	dragged	wavelengthControls	increasing	True	499	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	13.68	1504	user	sim	dragged	wavelengthControls		True	499	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	13.68	1506	model	sim	updating state			True	504	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	13.8	1516	user	sim	dragged	wavelengthControls	increasing	True	504	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	13.82	1518	model	sim	updating state			True	509	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	13.94	1528	user	sim	dragged	wavelengthControls	increasing	True	509	1.0	0.1	0.01	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
